Tahun,Kecamatan,Bulan,Jenis_Kejahatan,Lokasi_Kejadian,Waktu_Kejadian,Jumlah_kasus
2023,Sukarame,Juli,Pencurian Motor,Rumah,15.00-17.59,4
2023,Sukarame,Juli,Pencurian Motor,Rumah,04.00-04.59,2
2023,Sukarame,Juli,Pencurian Motor,Rumah,22.00-23.59,3
2023,Sukarame,Juli,Pencurian Motor,Rumah,05.00-07.59,1
2023,Sukarame,Juli,Pencurian Motor,Pertokoan/Mal/Pusat Perbelanjaan,18.00-21.59,4
2023,Sukarame,Juli,Pencurian Motor,Pertokoan/Mal/Pusat Perbelanjaan,18.00-21.59,4
2023,Sukarame,Juli,Pencurian Motor,Pertokoan/Mal/Pusat Perbelanjaan,22.00-23.59,1
2023,Sukarame,Juli,Pencurian Motor,Pertokoan/Mal/Pusat Perbelanjaan,05.00-07.59,1
2023,Teluk Betung Selatan,Juli,Pencurian Motor,Pertokoan/Mal/Pusat Perbelanjaan,05.00-07.59,1
2023,Sukarame,Juli,Pencurian Motor,Perkantoran,08.00-11.59,1
2023,Sukarame,Agustus,Pencurian Motor,Rumah,08.00-11.59,1
2023,Sukarame,Agustus,Pencurian Motor,Rumah,18.00-21.59,3
2023,Teluk Betung Selatan,Agustus,Pencurian Motor,Rumah,18.00-21.59,1
2023,Teluk Betung Timur,Agustus,Pencurian Motor,Rumah,18.00-21.59,1
2023,Sukarame,Agustus,Pencurian Motor,Rumah,15.00-17.59,2
2023,Sukarame,Agustus,Pencurian Motor,Rumah,12.00-14.59,2
2023,Teluk Betung Selatan,Agustus,Pencurian Motor,Rumah,12.00-14.59,1
2023,Teluk Betung Selatan,Agustus,Pencurian Motor,Rumah,04.00-04.59,1
2023,Kedaton,Agustus,Pencurian Motor,Rumah,04.00-04.59,1
2023,Sukarame,Agustus,Pencurian Motor,Rumah,05.00-07.59,1
2023,Teluk Betung Utara,Agustus,Pencurian Motor,Rumah,05.00-07.59,1
2023,Tanjung Karang Timur,Agustus,Pencurian Motor,Jalanan Umum,08.00-11.59,1
2023,Teluk Betung Selatan,Agustus,Pencurian Motor,Perkantoran,15.00-17.59,1
2023,Sukarame,Agustus,Pencurian Motor,Perkantoran,04.00-04.59,1
2023,Teluk Betung Selatan,Agustus,Pencurian Motor,Perkantoran,05.00-07.59,1
2023,Sukarame,Agustus,Pencurian Motor,Pertokoan/Mal/Pusat Perbelanjaan,08.00-11.59,2
