Tahun,Kecamatan,Bulan,Jenis_Kejahatan,Lokasi_Kejadian,Waktu_Kejadian,Jumlah_kasus
2025,Teluk betung selatan,Januari,Pencurian motor,tempat parkir,15.00-17.59,1
2025,Tanjung senang,Januari,Pencurian motor,tempat parkir,15.00-17.59,1
2025,Teluk betung selatan,Januari,Pencurian motor,rumah,04.00-04.59,3
2025,Sukarame,Januari,Pencurian motor,rumah,04.00-04.59,1
2025,Tanjung karang barat,Januari,Pencurian motor,rumah,04.00-04.59,1
2025,Tanjung karang timur,Januari,Pencurian motor,rumah,04.00-04.59,1
2025,Teluk betung timur,Januari,Pencurian motor,rumah,04.00-04.59,1
2025,Kedaton,Januari,Pencurian motor,rumah,04.00-04.59,1
2025,Sukabumi,Januari,Pencurian motor,rumah,04.00-04.59,1
2025,Tanjung karang pusat,Januari,Pencurian motor,rumah,04.00-04.59,1
2025,Tanjung senang,Januari,Pencurian motor,rumah,04.00-04.59,1
2025,Teluk betung selatan,Januari,Pencurian motor,pertokoan/mal/pusat perbelanjaan,04.00-04.59,1
2025,Panjang,Januari,Pencurian motor,rumah,05.00-07.59,1
2025,Teluk betung timur,Januari,Pencurian motor,rumah,05.00-07.59,1
